,0,1,2
352,1949,North Side High School Gym   Fort   ,detroit pistons
353,1950,North Side High School Gym   Fort   ,detroit pistons
354,1951,North Side High School Gym   Fort   ,detroit pistons
355,1952,Memorial Coliseum            Fort   ,detroit pistons
356,1953,Memorial Coliseum            Fort   ,detroit pistons
357,1954,Memorial Coliseum            Fort   ,detroit pistons
358,1955,Memorial Coliseum            Fort   ,detroit pistons
359,1956,Memorial Coliseum            Fort   ,detroit pistons
360,1957,Olympia Stadium                  ,detroit pistons
361,1958,Olympia Stadium                  ,detroit pistons
362,1959,Olympia Stadium                  ,detroit pistons
363,1960,Olympia Stadium                  ,detroit pistons
364,1961,Cobo Arena                       ,detroit pistons
365,1962,Cobo Arena                       ,detroit pistons
366,1963,Cobo Arena                       ,detroit pistons
367,1964,Cobo Arena                       ,detroit pistons
368,1965,Cobo Arena                       ,detroit pistons
369,1966,Cobo Arena                       ,detroit pistons
370,1967,Cobo Arena                       ,detroit pistons
371,1968,Cobo Arena                       ,detroit pistons
372,1969,Cobo Arena                       ,detroit pistons
373,1970,Cobo Arena                       ,detroit pistons
374,1971,Cobo Arena                       ,detroit pistons
375,1972,Cobo Arena                       ,detroit pistons
376,1973,Cobo Arena                       ,detroit pistons
377,1974,Cobo Arena                       ,detroit pistons
378,1975,Cobo Arena                       ,detroit pistons
379,1976,Cobo Arena                       ,detroit pistons
380,1977,Cobo Arena                       ,detroit pistons
381,1978,Silverdome                       ,detroit pistons
382,1979,Silverdome                       ,detroit pistons
383,1980,Silverdome                       ,detroit pistons
384,1981,Silverdome                       ,detroit pistons
385,1982,Silverdome                       ,detroit pistons
386,1983,Silverdome                       ,detroit pistons
387,1984,Silverdome                       ,detroit pistons
388,1985,Silverdome                       ,detroit pistons
389,1986,Silverdome                       ,detroit pistons
390,1987,Silverdome                       ,detroit pistons
391,1988,Palace of Auburn       ,detroit pistons
392,1989,Palace of Auburn       ,detroit pistons
393,1990,Palace of Auburn       ,detroit pistons
394,1991,Palace of Auburn       ,detroit pistons
395,1992,Palace of Auburn       ,detroit pistons
396,1993,Palace of Auburn       ,detroit pistons
397,1994,Palace of Auburn       ,detroit pistons
398,1995,Palace of Auburn       ,detroit pistons
399,1996,Palace of Auburn       ,detroit pistons
400,1997,Palace of Auburn       ,detroit pistons
401,1998,Palace of Auburn       ,detroit pistons
402,1999,Palace of Auburn       ,detroit pistons
403,2000,Palace of Auburn       ,detroit pistons
404,2001,Palace of Auburn       ,detroit pistons
405,2002,Palace of Auburn       ,detroit pistons
406,2003,Palace of Auburn       ,detroit pistons
407,2004,Palace of Auburn       ,detroit pistons
408,2005,Palace of Auburn       ,detroit pistons
409,2006,Palace of Auburn       ,detroit pistons
410,2007,Palace of Auburn       ,detroit pistons
411,2008,Palace of Auburn       ,detroit pistons
412,2009,Palace of Auburn       ,detroit pistons
413,2010,Palace of Auburn       ,detroit pistons
414,2011,Palace of Auburn       ,detroit pistons
415,2012,Palace of Auburn       ,detroit pistons
416,2013,Palace of Auburn       ,detroit pistons
417,2014,Palace of Auburn       ,detroit pistons
418,2015,Palace of Auburn       ,detroit pistons
419,2016,Palace of Auburn       ,detroit pistons
420,2017,Palace of Auburn       ,detroit pistons
421,2018,Palace of Auburn       ,detroit pistons
422,1946,Philadelphia Arena              ,golden state warriors
423,1947,Philadelphia Arena              ,golden state warriors
424,1948,Philadelphia Arena              ,golden state warriors
425,1949,Philadelphia Arena              ,golden state warriors
426,1950,Philadelphia Arena              ,golden state warriors
427,1951,Philadelphia Arena              ,golden state warriors
428,1952,Convention Hall                 ,golden state warriors
429,1953,Convention Hall                 ,golden state warriors
430,1954,Convention Hall                 ,golden state warriors
431,1955,Convention Hall                 ,golden state warriors
432,1956,Convention Hall                 ,golden state warriors
433,1957,Convention Hall                 ,golden state warriors
434,1958,Convention Hall                 ,golden state warriors
435,1959,Convention Hall                 ,golden state warriors
436,1960,Convention Hall                 ,golden state warriors
437,1961,Convention Hall                 ,golden state warriors
438,1962,Cow Palace                  ,golden state warriors
439,1963,Cow Palace                  ,golden state warriors
440,1964,Civic Auditorium          ,golden state warriors
441,1965,Civic Auditorium          ,golden state warriors
442,1966,Cow Palace       ,golden state warriors
443,1967,Cow Palace              ,golden state warriors
444,1968,Cow Palace              ,golden state warriors
445,1969,Cow Palace              ,golden state warriors
446,1970,Cow Palace              ,golden state warriors
447,1971,Oakland Coliseum        ,golden state warriors
448,1972,Oakland Coliseum        ,golden state warriors
449,1973,Oakland Coliseum        ,golden state warriors
450,1974,Oakland Coliseum        ,golden state warriors
451,1975,Oakland Coliseum        ,golden state warriors
452,1976,Oakland Coliseum        ,golden state warriors
453,1977,Oakland Coliseum        ,golden state warriors
454,1978,Oakland Coliseum        ,golden state warriors
455,1979,Oakland Coliseum        ,golden state warriors
456,1980,Oakland Coliseum        ,golden state warriors
457,1981,Oakland Coliseum        ,golden state warriors
458,1982,Oakland Coliseum        ,golden state warriors
459,1983,Oakland Coliseum        ,golden state warriors
460,1984,Oakland Coliseum        ,golden state warriors
461,1985,Oakland Coliseum        ,golden state warriors
462,1986,Oakland Coliseum        ,golden state warriors
463,1987,Oakland Coliseum        ,golden state warriors
464,1988,Oakland Coliseum        ,golden state warriors
465,1989,Oakland Coliseum        ,golden state warriors
466,1990,Oakland Coliseum        ,golden state warriors
467,1991,Oakland Coliseum        ,golden state warriors
468,1992,Oakland Coliseum        ,golden state warriors
469,1993,Oakland Coliseum        ,golden state warriors
470,1994,Oakland Coliseum        ,golden state warriors
471,1995,Oakland Coliseum        ,golden state warriors
472,1996,San Jose Arena      ,golden state warriors
473,1997,The Arena in Oakland                ,golden state warriors
474,1998,The Arena in Oakland                ,golden state warriors
475,1999,The Arena in Oakland                ,golden state warriors
476,2000,The Arena in Oakland                ,golden state warriors
477,2001,The Arena in Oakland                ,golden state warriors
478,2002,The Arena in Oakland                ,golden state warriors
479,2003,The Arena in Oakland                ,golden state warriors
480,2004,The Arena in Oakland                ,golden state warriors
481,2005,The Arena in Oakland                ,golden state warriors
482,2006,Oracle Arena                        ,golden state warriors
483,2007,Oracle Arena                        ,golden state warriors
484,2008,Oracle Arena                        ,golden state warriors
485,2009,Oracle Arena                        ,golden state warriors
486,2010,Oracle Arena                        ,golden state warriors
487,2011,Oracle Arena                        ,golden state warriors
488,2012,Oracle Arena                        ,golden state warriors
489,2013,Oracle Arena                        ,golden state warriors
490,2014,Oracle Arena                        ,golden state warriors
491,2015,Oracle Arena                        ,golden state warriors
492,2016,Oracle Arena                        ,golden state warriors
493,2017,Oracle Arena                        ,golden state warriors
494,2018,Oracle Arena                        ,golden state warriors
495,1967,San Diego Sports Arena,houston rockets
496,1968,San Diego Sports Arena,houston rockets
497,1969,San Diego Sports Arena,houston rockets
498,1970,San Diego Sports Arena,houston rockets
499,1971,Hofheinz Pavilion                ,houston rockets
500,1972,Hofheinz Pavilion                ,houston rockets
501,1973,Hofheinz Pavilion                ,houston rockets
502,1974,Hofheinz Pavilion                ,houston rockets
503,1975,Compaq Center                    ,houston rockets
504,1976,Compaq Center                    ,houston rockets
505,1977,Compaq Center                    ,houston rockets
506,1978,Compaq Center                    ,houston rockets
507,1979,Compaq Center                    ,houston rockets
508,1980,Compaq Center                    ,houston rockets
509,1981,Compaq Center                    ,houston rockets
510,1982,Compaq Center                    ,houston rockets
511,1983,Compaq Center                    ,houston rockets
512,1984,Compaq Center                    ,houston rockets
